country_code,country,measure_code,measure,unit_code,unit,market_type_code,market_type,pharmaceutical_code,pharmaceutical,year,value,obs_status,obs_status2,obs_status3,unit_multiplier,decimals
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2016,19,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2017,19.4,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2018,20.2,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2019,20.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2020,19.7,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2021,19.8,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2022,19.7,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2023,19.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2002,7.1,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2003,9.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2004,12.4,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2005,18,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2006,22.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2007,23.2,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2008,24.1,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2009,25.5,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2010,27.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2011,28.6,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2012,30.7,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2013,32.2,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2014,33.5,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2015,35.6,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2016,37.4,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2017,38.6,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2018,40.7,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2019,41.5,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2020,42,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2021,43.2,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2022,43.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VOL_M,Percentage of sales volume in the same market,COMMUNITY,Community pharmacy market,_Z,Not applicable,2023,43.9,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2002,0.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2003,1,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2004,2.1,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2005,3.3,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2006,3.8,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2007,4.1,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2008,4.1,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2009,4.2,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2010,4.4,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2011,4.4,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2012,4.4,0,,,0,
BEL,Belgium,PH_MARKET,Share of generics in respective pharmaceutical market,PT_SL_VAL_M,Percentage of sales value (turnover) in the same market,HOSPITAL,Hospital pharmaceutical market,_Z,Not applicable,2013,4.6,0,,,0,
